,topic,category,content
63,They want to muddy the topic: Jeff Bezos on US govt criticising his recent tweets,technology,"Amazon Founder Jeff Bezos tweeted, ""They understandably want to muddy the topic,"" on the White House's statement about his tweets opposing taxing the rich corporations to tame inflation. It accused Bezos of opposing an ""economic agenda for the middle class that cuts some of the biggest costs families face"". Earlier, Bezos accused US President Joe Biden of ""misdirection"" over inflation."
64,Steve Jobs wanted original iPhone to have no SIM card: iPod's creator,technology,"Apple's iPod creator Tony Fadell revealed that Apple Co-founder Steve Jobs wanted the first iPhone with no SIM card slot and wanted it to work on CDMA networks. ""We don't want another hole in it (iPhone),"" Jobs was quoted as saying by Fadell. ""We had to give him data...to tell him that we need a SIM card slot,"" added Fadell."
65,"Ex-eBay workers plead guilty to harassing couple with spiders, funeral wreaths",technology,"As many as six former employees at eBay have pleaded guilty to harassing a couple, who ran an online newsletter and published several articles critiquing eBay in the US. They sent them live cockroaches, spiders, funeral wreaths, a bloodied pig mask and pornography. The six of them were charged in June 2020 while former CEO Devin Wenig was also sued."
66,"Good move: Musk on Netflix telling staff 'If you don't like our content, you can quit'",technology,"Elon Musk tweeted, ""Good move by Netflix"", in response to an article about Netflix asking its employees to quit if they don't like the company's content. Netflix recently updated its culture guidelines to add an ""Artistic Expression"" section. Under it, Netflix says, ""If you'd find it hard to support our content breadth...Netflix may not be the best place for you."""
67,"B'luru police tracks over 2,500 IP addresses to arrest man who stole a car via OLX ad",technology,"The Bengaluru police arrested a man three months after he allegedly stole an SUV on the pretext of taking it for a test drive. He stole the SUV on January 30, from an engineer who had posted an ad about it on OLX. While the accused used a stolen phone, the police tracked him after verifying over 2,500 IP addresses. "
68,US-based customers use Tesla cars to mine $800/month in crypto,technology,Tesla owners are using their cars as a power source to mine cryptocurrency. San Francisco-based Siraj Raval hacked his Model 3's onboard internal firmware to mine up to $800 worth of cryptocurrency every month. Wisconsin-based Chris Allessi connected a power inverter and a bitcoin miner to his Model S' battery to mine bitcoin and monero.
69,SEBI proposes banning celebrities from promoting crypto products,technology,"SEBI has recommended that no prominent public figures, including celebrities and sportspersons, should endorse crypto products. It added that firms advertising cryptos and digital assets should put up disclosures listing out the possible law violations. This comes after the Advertising Standards Council of India (ASCI) in February said crypto ads must carry a prominent and unmissable disclaimer."
70,"Tesla recalls 1,07,293 China-made vehicles due to overheating",technology,"Tesla is recalling 1,07,293 China-made Model 3 and Model Y vehicles due to overheating that may cause the centre touchscreen display to malfunction, China's market regulatory agency said on Monday. As per the State Administration for Market Regulation, the overheating could also lead to windshield settings and gear displays malfunctions. Last week, Tesla recalled 1,30,000 vehicles in the US."
71,Trump to wait for 6 hours before reposting Truth Social content,technology,"Ex-US President Donald Trump is obligated to first post to new social network Truth Social and can't publish it on another social media site for six hours, as per a regulatory filing. However, he's still free to post from personal account about political messaging on any platform at any time. Recently, Elon Musk said he'd reverse Trump's ban on Twitter."
72,Non-profit behind collapsed Terra ecosystem to compensate users,technology,"The Luna Foundation Guard (LFG), a non-profit organisation that supports the Terra ecosystem, on Monday announced that it will compensate the remaining users of TerraUSD/UST, after the stablecoin collapsed last week. ""We're still debating through various distribution methods,"" the LFG tweeted. It spent millions of dollars worth of crypto trying to defend UST's dollar peg last week, it added."
